City_ID,City,Country,Lat,Lng,Date,Max Temp,Humidity,Clouds,Wind Speed
0,punta arenas,CL,-53.15,-70.92,1579645167.0,59.0,47.0,40.0,27.51
1,namatanai,PG,-3.67,152.43,1579645168.0,83.05,75.0,49.0,7.96
2,falmouth,GB,50.15,-5.07,1579645169.0,44.01,100.0,73.0,5.82
4,mar del plata,AR,-38.0,-57.56,1579644980.0,69.01,88.0,90.0,13.87
5,sabha,LY,27.04,14.43,1579645172.0,56.79,39.0,37.0,13.02
7,zhuhai,CN,22.28,113.57,1579645173.0,66.2,88.0,40.0,8.05
8,klaksvik,FO,62.23,-6.59,1579645174.0,42.8,87.0,100.0,3.36
9,hilo,US,19.73,-155.09,1579645175.0,80.6,42.0,90.0,9.17
10,bluff,NZ,-46.6,168.33,1579645176.0,56.66,96.0,100.0,3.83
11,upernavik,GL,72.79,-56.15,1579645177.0,3.52,61.0,98.0,7.54
12,thompson,CA,55.74,-97.86,1579644920.0,12.2,85.0,40.0,6.93
13,sergeyevka,KZ,53.88,67.42,1579645180.0,15.06,96.0,87.0,6.11
14,atuona,PF,-9.8,-139.03,1579645181.0,80.76,74.0,78.0,12.68
15,vaini,TO,-21.2,-175.2,1579645182.0,82.4,74.0,20.0,9.17
16,hithadhoo,MV,-0.6,73.08,1579645183.0,83.1,80.0,100.0,15.68
17,rikitea,PF,-23.12,-134.97,1579645184.0,78.3,77.0,0.0,10.4
18,huarmey,PE,-10.07,-78.15,1579645185.0,80.6,56.0,41.0,8.3
20,aksaray,TR,38.37,34.03,1579645186.0,30.2,63.0,75.0,13.87
21,ushuaia,AR,-54.8,-68.3,1579645188.0,53.6,66.0,40.0,26.4
22,san pedro buenavista,MX,16.08,-93.12,1579645189.0,78.8,44.0,20.0,13.87
23,kavaratti,IN,10.57,72.64,1579645190.0,81.93,78.0,0.0,12.39
24,san andres,CO,12.58,-81.7,1579645159.0,80.6,78.0,90.0,11.41
25,port moresby,PG,-9.44,147.18,1579644923.0,78.8,94.0,40.0,5.82
26,kodiak,US,57.79,-152.41,1579645193.0,30.2,63.0,75.0,16.11
27,cape town,ZA,-33.93,18.42,1579645176.0,70.0,73.0,20.0,2.24
28,camacha,PT,33.08,-16.33,1579645195.0,60.8,67.0,40.0,11.41
29,jamestown,US,42.1,-79.24,1579645196.0,25.0,85.0,90.0,10.29
30,mount gambier,AU,-37.83,140.77,1579645198.0,71.6,35.0,40.0,14.99
32,ayagoz,KZ,47.97,80.44,1579645199.0,13.77,94.0,100.0,12.93
33,morehead,US,37.27,-87.18,1579645200.0,34.0,36.0,1.0,3.42
34,kruisfontein,ZA,-34.0,24.73,1579645201.0,63.81,92.0,100.0,11.32
35,komsomolskiy,UZ,40.43,71.72,1579645202.0,32.0,63.0,100.0,2.24
37,behshahr,IR,36.69,53.55,1579645203.0,35.6,100.0,0.0,4.7
38,lebu,CL,-37.62,-73.65,1579645204.0,71.44,52.0,0.0,11.5
39,estelle,US,29.85,-90.11,1579645206.0,52.0,39.0,20.0,12.75
41,chuy,UY,-33.7,-53.46,1579645207.0,77.65,71.0,92.0,14.54
42,flinders,AU,-34.58,150.86,1579645208.0,81.0,88.0,0.0,6.96
43,hobart,AU,-42.88,147.33,1579645209.0,64.99,48.0,75.0,6.93
44,santo domingo,DO,18.5,-69.99,1579645210.0,80.6,78.0,20.0,9.17
45,bucerias,MX,20.75,-105.33,1579645211.0,82.99,74.0,20.0,13.87
46,ukiah,US,39.15,-123.21,1579645212.0,55.0,93.0,90.0,8.05
48,constitucion,CL,-35.33,-72.42,1579645214.0,69.42,47.0,0.0,6.62
49,east london,ZA,-33.02,27.91,1579645215.0,70.75,84.0,84.0,14.79
50,lorengau,PG,-2.02,147.27,1579645216.0,82.81,77.0,18.0,13.73
51,qui nhon,VN,13.77,109.23,1579645217.0,66.58,84.0,89.0,2.68
52,wanning,CN,18.8,110.4,1579645218.0,70.11,89.0,100.0,3.47
53,colwyn bay,GB,53.29,-3.73,1579645219.0,48.2,93.0,91.0,3.36
54,saint-philippe,RE,-21.36,55.77,1579645220.0,77.0,100.0,100.0,5.82
55,krasnaya gora,RU,53.0,31.6,1579645221.0,37.4,86.0,90.0,15.66
56,albany,US,42.6,-73.97,1579645222.0,23.0,41.0,20.0,4.7
57,whitehorse,CA,60.72,-135.05,1579644925.0,8.6,84.0,90.0,8.05
58,arraial do cabo,BR,-22.97,-42.03,1579645225.0,78.8,83.0,75.0,6.93
59,port alfred,ZA,-33.59,26.89,1579645226.0,63.0,98.0,100.0,17.63
60,hambantota,LK,6.12,81.12,1579645227.0,77.0,100.0,5.0,5.82
61,dayong,CN,25.02,118.29,1579645228.0,60.8,77.0,40.0,2.24
62,qaanaaq,GL,77.48,-69.36,1579645229.0,-15.88,51.0,5.0,7.14
65,nanortalik,GL,60.14,-45.24,1579645230.0,27.32,94.0,100.0,9.78
66,ribeira grande,PT,38.52,-28.7,1579645231.0,59.0,72.0,75.0,19.46
67,chicama,PE,-7.84,-79.15,1579645233.0,75.2,78.0,40.0,5.82
68,tautira,PF,-17.73,-149.15,1579645234.0,86.0,79.0,75.0,14.99
70,cidreira,BR,-30.18,-50.21,1579645235.0,75.42,78.0,100.0,25.05
71,mataura,NZ,-46.19,168.86,1579645236.0,60.06,89.0,100.0,2.24
73,luanda,AO,-8.84,13.23,1579645186.0,82.4,78.0,20.0,8.05
74,torbay,CA,47.67,-52.73,1579645238.0,19.4,67.0,75.0,5.82
75,busselton,AU,-33.65,115.33,1579645239.0,59.0,50.0,31.0,10.96
76,kapaa,US,22.08,-159.32,1579645241.0,80.6,73.0,20.0,8.05
77,khatanga,RU,71.97,102.5,1579645242.0,-22.05,98.0,100.0,2.08
78,kirakira,SB,-10.45,161.92,1579645243.0,80.65,77.0,0.0,2.17
79,acarau,BR,-2.89,-40.12,1579645244.0,79.12,82.0,92.0,6.2
81,ambilobe,MG,-13.2,49.05,1579645245.0,78.66,89.0,100.0,9.31
82,chokurdakh,RU,70.63,147.92,1579645246.0,-33.63,98.0,81.0,8.23
83,sao filipe,CV,14.9,-24.5,1579645247.0,70.14,77.0,0.0,10.4
84,dukat,RU,62.55,155.55,1579645248.0,-32.01,98.0,74.0,3.98
85,mackenzie,CA,55.3,-123.17,1579645250.0,23.0,92.0,90.0,6.93
86,bereda,ES,43.27,-7.54,1579645251.0,51.01,76.0,75.0,6.93
87,baffa,PK,34.44,73.22,1579645252.0,31.17,87.0,88.0,4.68
88,tuktoyaktuk,CA,69.45,-133.04,1579645253.0,-25.6,74.0,20.0,5.82
89,half moon bay,US,37.46,-122.43,1579645168.0,60.01,82.0,90.0,17.22
90,provideniya,RU,64.38,-173.3,1579645255.0,6.8,77.0,90.0,8.95
91,cabedelo,BR,-6.98,-34.83,1579645256.0,82.4,74.0,75.0,6.93
92,chilca,PE,-12.52,-76.74,1579645257.0,75.2,83.0,29.0,11.41
93,lata,PT,40.16,-8.33,1579645258.0,53.01,70.0,3.0,5.82
94,chifeng,CN,42.27,118.96,1579645082.0,12.27,84.0,2.0,1.05
95,praia da vitoria,PT,38.73,-27.07,1579645261.0,55.4,87.0,75.0,20.78
96,nhulunbuy,AU,-12.23,136.77,1579645262.0,78.8,88.0,90.0,12.75
97,petropavlovsk-kamchatskiy,RU,53.05,158.65,1579645263.0,-2.2,77.0,4.0,13.42
98,gamba,GA,-2.65,10.0,1579645264.0,78.22,88.0,55.0,4.29
99,lawton,US,34.61,-98.39,1579645006.0,53.6,54.0,75.0,14.99
100,carnarvon,AU,-24.87,113.63,1579645266.0,71.6,73.0,75.0,20.8
101,najran,SA,17.49,44.13,1579645267.0,57.2,72.0,0.0,1.74
102,terrace,CA,54.52,-128.6,1579645268.0,34.0,92.0,90.0,12.75
103,houma,US,29.6,-90.72,1579645269.0,52.0,39.0,1.0,16.11
105,khani,GE,41.96,42.96,1579645271.0,37.4,100.0,90.0,4.7
107,svetlaya,RU,46.54,138.33,1579645272.0,14.02,68.0,100.0,6.73
108,luan,CH,46.36,6.98,1579645273.0,32.0,92.0,100.0,1.12
109,broome,US,42.25,-75.83,1579645274.0,27.0,67.0,40.0,5.82
111,san patricio,MX,19.22,-104.7,1579645275.0,86.0,74.0,40.0,5.82
112,victoria,HK,22.29,114.16,1579645046.0,66.2,82.0,40.0,8.05
113,puerto ayora,EC,-0.74,-90.35,1579645278.0,84.2,62.0,40.0,5.82
115,san policarpo,PH,12.18,125.51,1579645279.0,77.49,81.0,2.0,20.02
116,barra,BR,-11.09,-43.14,1579645007.0,83.07,69.0,85.0,5.59
117,teknaf,BD,20.86,92.31,1579645281.0,55.9,61.0,0.0,2.1
118,ponta do sol,PT,32.67,-17.1,1579645282.0,60.8,55.0,40.0,6.93
119,pemba,MZ,-12.97,40.52,1579645283.0,77.0,100.0,75.0,12.75
120,aksha,RU,50.28,113.29,1579645284.0,-11.52,91.0,24.0,1.66
121,galveston,US,29.37,-94.97,1579645286.0,59.0,54.0,1.0,12.75
122,georgetown,MY,5.41,100.34,1579645005.0,78.8,74.0,20.0,3.36
124,andenes,NO,69.31,16.12,1579645288.0,35.6,69.0,75.0,14.99
125,codrington,AU,-38.27,141.97,1579645289.0,68.41,51.0,100.0,20.07
126,cururupu,BR,-1.83,-44.87,1579645290.0,76.19,96.0,100.0,3.29
127,neiafu,TO,-18.65,-173.98,1579645291.0,80.6,65.0,20.0,4.7
128,nome,US,64.5,-165.41,1579645292.0,9.0,84.0,75.0,5.82
129,anadyr,RU,64.75,177.48,1579645293.0,-20.0,68.0,20.0,4.47
130,avenal,US,36.0,-120.13,1579645048.0,61.0,62.0,75.0,3.36
131,saldanha,ZA,-33.01,17.94,1579645296.0,64.4,82.0,19.0,4.7
132,taltal,CL,-25.4,-70.48,1579645297.0,67.15,74.0,7.0,7.29
134,arlit,NE,18.74,7.39,1579645298.0,70.77,15.0,30.0,12.35
135,hermanus,ZA,-34.42,19.23,1579645299.0,70.0,85.0,92.0,11.01
136,chadiza,ZM,-14.07,32.44,1579645300.0,63.01,96.0,99.0,3.67
137,olutanga,PH,7.31,122.85,1579645301.0,72.88,76.0,0.0,2.77
138,rocha,UY,-34.48,-54.33,1579645302.0,78.55,65.0,100.0,14.76
139,ha tinh,VN,18.33,105.9,1579645304.0,68.9,88.0,4.0,3.62
140,poum,NC,-20.23,164.02,1579645305.0,78.01,73.0,1.0,16.82
141,talcahuano,CL,-36.72,-73.12,1579645306.0,69.8,60.0,0.0,10.29
142,antofagasta,CL,-23.65,-70.4,1579645087.0,73.4,64.0,20.0,12.75
143,khrebtovaya,RU,56.7,104.25,1579645308.0,-2.42,91.0,100.0,11.12
144,bilma,NE,18.69,12.92,1579645309.0,64.35,18.0,0.0,7.85
145,yunyang,CN,33.45,112.71,1579645310.0,37.4,91.0,1.0,3.36
146,cabo san lucas,MX,22.89,-109.91,1579645311.0,84.2,35.0,5.0,17.22
147,bonfim,BR,3.08,-59.95,1579645312.0,95.4,32.0,85.0,11.14
148,luderitz,NA,-26.65,15.16,1579645314.0,68.0,77.0,0.0,5.82
149,yar-sale,RU,66.83,70.83,1579645315.0,3.07,94.0,100.0,17.74
150,yellowknife,CA,62.46,-114.35,1579645316.0,-5.01,76.0,75.0,4.7
151,svetlogorsk,BY,52.63,29.73,1579645317.0,37.89,89.0,100.0,18.3
152,eureka,US,40.8,-124.16,1579645318.0,53.6,76.0,40.0,5.82
153,namibe,AO,-15.2,12.15,1579645319.0,74.97,87.0,72.0,15.32
154,bilibino,RU,68.05,166.44,1579645320.0,-31.36,99.0,100.0,2.28
155,grindavik,IS,63.84,-22.43,1579645321.0,42.8,100.0,90.0,21.92
156,prince george,CA,53.92,-122.75,1579645275.0,36.0,92.0,40.0,6.93
157,la ronge,CA,55.1,-105.28,1579645324.0,32.0,84.0,75.0,13.87
158,sao jose da coroa grande,BR,-8.9,-35.15,1579645325.0,81.34,81.0,0.0,18.61
159,nikolskoye,RU,59.7,30.79,1579645326.0,36.0,69.0,88.0,17.9
160,havoysund,NO,71.0,24.66,1579645327.0,30.2,74.0,75.0,25.28
162,bengkulu,ID,-3.8,102.27,1579645328.0,74.84,88.0,95.0,3.56
163,butaritari,KI,3.07,172.79,1579645329.0,84.49,64.0,100.0,5.79
164,port elizabeth,ZA,-33.92,25.57,1579645330.0,66.2,100.0,75.0,12.75
165,bathsheba,BB,13.22,-59.52,1579645332.0,78.8,69.0,40.0,12.75
166,bredasdorp,ZA,-34.53,20.04,1579645333.0,66.99,88.0,100.0,8.05
167,yurimaguas,PE,-5.9,-76.08,1579645334.0,48.2,100.0,40.0,3.36
168,necochea,AR,-38.55,-58.74,1579645335.0,73.0,93.0,53.0,4.0
170,avera,US,33.19,-82.53,1579645336.0,41.0,35.0,1.0,10.29
171,norman wells,CA,65.28,-126.83,1579645337.0,-14.8,68.0,20.0,4.7
172,coahuayana,MX,18.73,-103.68,1579645338.0,86.0,48.0,75.0,5.37
174,iskateley,RU,67.68,53.15,1579645339.0,20.68,95.0,100.0,10.16
175,ilulissat,GL,69.22,-51.1,1579645341.0,10.4,60.0,75.0,2.24
176,mahebourg,MU,-20.41,57.7,1579645342.0,77.0,94.0,75.0,3.36
177,puerto barrios,GT,15.72,-88.6,1579645343.0,73.4,83.0,75.0,0.85
178,airai,TL,-8.93,125.41,1579645344.0,68.11,78.0,100.0,4.74
179,vao,NC,-22.67,167.48,1579645345.0,77.5,69.0,100.0,10.87
180,faya,SA,18.39,42.45,1579645346.0,53.6,87.0,40.0,9.17
181,luba,GQ,3.46,8.55,1579645347.0,80.42,81.0,100.0,11.65
182,hasaki,JP,35.73,140.83,1579645348.0,36.0,69.0,75.0,9.17
