,City,Country,Lat,Lng,Date,Max Temp,Humidity,Clouds,Wind Speed
1,eidfjord,NO,60.47,7.07,1565569906.0,51.01,86.0,81.0,3.09
3,pocoes,BR,-14.53,-40.37,1565569705.0,62.63,96.0,13.0,5.86
5,dubai,AE,25.27,55.3,1565569909.0,91.4,79.0,0.0,6.93
6,jamestown,AU,-33.21,138.6,1565569910.0,46.07,72.0,6.0,0.85
7,rikitea,PF,-23.12,-134.97,1565569911.0,72.53,83.0,99.0,18.34
8,samfya,ZM,-11.37,29.56,1565569913.0,56.69,54.0,0.0,6.85
9,cape town,ZA,-33.93,18.42,1565569726.0,55.99,87.0,75.0,9.17
10,cherskiy,RU,68.75,161.3,1565569915.0,55.25,63.0,100.0,9.1
12,butaritari,KI,3.07,172.79,1565569916.0,82.43,73.0,86.0,6.53
13,avera,US,33.19,-82.53,1565569918.0,87.8,79.0,1.0,4.7
14,naze,NG,5.43,7.07,1565569919.0,72.35,97.0,84.0,2.84
15,atuona,PF,-9.8,-139.03,1565569920.0,79.19,79.0,0.0,17.31
16,ushuaia,AR,-54.81,-68.31,1565569921.0,32.0,94.0,75.0,20.8
17,nikolskoye,RU,59.7,30.79,1565569922.0,60.8,100.0,90.0,4.47
18,victoria,BN,5.28,115.24,1565569924.0,84.2,83.0,75.0,4.54
19,vaini,IN,15.34,74.49,1565569925.0,71.6,94.0,75.0,9.17
20,tianpeng,CN,28.88,112.34,1565569926.0,82.25,80.0,57.0,1.45
21,kodiak,US,39.95,-94.76,1565569927.0,82.4,69.0,90.0,6.93
22,new norfolk,AU,-42.78,147.06,1565569929.0,52.0,57.0,75.0,20.8
23,chokurdakh,RU,70.62,147.9,1565569930.0,52.37,63.0,0.0,12.46
24,albany,US,42.65,-73.75,1565569928.0,73.4,49.0,20.0,9.17
25,zheleznogorsk,RU,56.25,93.53,1565569932.0,53.6,87.0,0.0,4.25
26,kavieng,PG,-2.57,150.8,1565569934.0,80.99,72.0,92.0,3.87
27,port elizabeth,US,39.31,-74.98,1565569935.0,78.8,56.0,1.0,4.7
28,torbay,CA,47.66,-52.73,1565569936.0,66.99,82.0,90.0,12.75
29,bambanglipuro,ID,-7.95,110.28,1565569937.0,73.07,85.0,2.0,8.75
31,hilo,US,19.71,-155.08,1565569643.0,84.2,62.0,1.0,12.75
32,nanortalik,GL,60.14,-45.24,1565569940.0,47.33,68.0,7.0,10.85
33,grindavik,IS,63.84,-22.43,1565569941.0,48.2,66.0,75.0,18.34
34,yellowknife,CA,62.45,-114.38,1565569942.0,66.2,52.0,20.0,8.05
35,carnarvon,ZA,-30.97,22.13,1565569943.0,38.87,91.0,5.0,7.94
36,qaanaaq,GL,77.48,-69.36,1565569945.0,44.63,67.0,95.0,1.52
37,lavrentiya,RU,65.58,-170.99,1565569946.0,47.87,97.0,100.0,4.43
38,abu samrah,SY,35.3,37.18,1565569947.0,70.01,77.0,0.0,11.14
39,iranshahr,IR,27.21,60.69,1565569948.0,95.0,34.0,100.0,3.13
40,lorengau,PG,-2.02,147.27,1565569950.0,82.61,68.0,77.0,1.36
